#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
54,2006,John Rheinecker,TEX,6.03,4.46,58.30%,0.9,4.47,-0.18,7.60%,5.00%,2.60%,
55,2006,Taylor Buchholz,HOU,6.08,5.33,44.10%,0.5,4.45,-0.99,16.30%,7.30%,9.00%,
56,2006,Fernando Nieve,HOU,4.67,5.64,38.10%,0.1,4.96,0.09,14.70%,7.10%,7.50%,
57,2006,Tim Corcoran,TBD,4.41,4.99,39.80%,0.6,5.22,-0.63,15.00%,12.30%,2.70%,
58,2006,Enrique Gonzalez,ARI,5.88,4.76,44.20%,1.2,4.81,-1.15,13.60%,7.70%,5.90%,
59,2006,Mike Thompson,SDP,5.14,5.43,48.90%,0,5.13,-1.24,8.90%,7.40%,1.50%,
60,2006,Carlos Marmol,CHC,5.99,6.71,28.70%,-0.4,6.65,-0.83,14.60%,17.50%,-2.90%,
61,2006,Zach Miner,DET,5.31,4.6,47.00%,0.9,4.51,-0.49,13.30%,7.50%,5.80%,
62,2006,Chris Young,SDP,3.46,4.6,25.40%,2.2,4.68,2.29,22.30%,9.40%,12.90%,
63,2006,Francisco Liriano,MIN,1.92,2.81,56.70%,2.9,2.54,2.77,29.70%,7.40%,22.30%,
64,2006,Roberto Hernandez,CLE,6.08,5.9,53.60%,-0.2,4.93,-0.42,13.80%,10.20%,3.60%,
65,2006,Aníbal Sánchez,FLA,2.37,3.92,45.00%,2.1,4.9,2.95,15.10%,9.90%,5.20%,
66,2006,Matt Garza,MIN,6.29,4.86,33.10%,0.4,5.1,-0.78,16.40%,10.60%,5.80%,
67,2006,Juan Mateo,CHC,5.56,5.02,41.60%,0.4,4.62,-0.56,17.10%,10.60%,6.50%,
68,2006,Ricky Nolasco,FLA,4.96,4.94,38.70%,0.9,4.72,-0.6,15.30%,6.60%,8.70%,
69,2006,Edinson Volquez,TEX,7.29,6.6,42.70%,-0.2,5.81,-1,9.10%,10.40%,-1.20%,
70,2006,Carlos Villanueva,MIL,3.93,4.84,41.80%,0.3,4.32,0.4,17.30%,6.00%,11.30%,
