"Season","Name","PA","Team","WAR","pythW","pythL","WARSHARE"
2004,"Brad Wilkerson",688,"WSN",5,67,95,0.0746268656716418
2003,"Shawn Green",691,"LAD",1.8,83,79,0.0216867469879518
2003,"Orlando Cabrera",691,"WSN",4.2,80,82,0.0525
2001,"Orlando Cabrera",684,"WSN",3.1,67,95,0.0462686567164179
2023,"Paul Goldschmidt",687,"STL",3.4,71,91,0.047887323943662
2023,"Francisco Lindor",687,"NYM",5.5,80,82,0.06875
2023,"Adley Rutschman",687,"BAL",5.4,94,68,0.0574468085106383
2017,"Manny Machado",690,"BAL",1.7,72,90,0.0236111111111111
2006,"Curtis Granderson",679,"DET",4,95,67,0.0421052631578947
2004,"Corey Patterson",687,"CHC",5,94,68,0.0531914893617021
2004,"Lance Berkman",687,"HOU",6.2,91,71,0.0681318681318681
2008,"Adrián González",700,"SDP",3.1,68,94,0.0455882352941177
2008,"Ryan Howard",700,"PHI",2.8,93,69,0.0301075268817204
2009,"Albert Pujols",700,"STL",8.4,91,71,0.0923076923076923
2003,"Johnny Damon",690,"BOS",2.4,94,68,0.025531914893617
2003,"Jason Giambi",690,"NYY",5,96,66,0.0520833333333333
2000,"Tony Womack",659,"ARI",0,85,77,0
2001,"Juan Pierre",683,"COL",2.2,82,80,0.0268292682926829
2001,"Miguel Tejada",683,"OAK",3.7,104,58,0.0355769230769231
2016,"Adam Eaton",706,"CHW",6.2,78,84,0.0794871794871795
2002,"Bernie Williams",699,"NYY",4.9,99,62,0.0494949494949495
2012,"Alex Gordon",721,"KCR",5,74,88,0.0675675675675676
2017,"Elvis Andrus",689,"TEX",4.1,79,83,0.0518987341772152
2024,"Aaron Judge",704,"NYY",11.2,96,66,0.116666666666667
2008,"Chris Young",699,"ARI",2.3,82,80,0.0280487804878049
2011,"Jacoby Ellsbury",732,"BOS",9.5,94,68,0.101063829787234
2003,"Jimmy Rollins",689,"PHI",2.3,90,72,0.0255555555555556
2000,"Travis Fryman",658,"CLE",4.6,92,70,0.05
2016,"Paul Goldschmidt",705,"ARI",4.4,69,93,0.063768115942029
2010,"Michael Young",718,"TEX",2.4,91,71,0.0263736263736264
2019,"Starlin Castro",676,"MIA",2.5,61,101,0.040983606557377
2006,"Vernon Wells",677,"TOR",5.8,86,76,0.0674418604651163
2004,"Miguel Cabrera",685,"MIA",2.3,83,79,0.027710843373494
